ITEM;IDTIPOFT2;IDFAMILIA;ESTADOFT_DETEC;TEXTOESTADOFT_DETEC;STATUSFT;TEXTOSTATUSFT;IDCLIENTE;REFERENCIA;CODIGOREFERENCIA;TIPOABNT;EXIGELAUDO;GRAMATURA;COLUNAMINIMO;COBBINTMAXIMO;COMPRESSAO;COMPOSICAO;LARGURA;REFILOLARGURA;COMPRIMENTO;REFILOCOMPRIMENTO;MULTLARG;MULTCOMP;ARRANJO;REFUGOCLIENTE;VINCOLARG1;VINCOLARG2;VINCOLARG3;VINCOCOMP1;VINCOCOMP2;VINCOCOMP3;VINCOCOMP4;VINCOCOMP5;LAP;PROLONGLAP;LAPNOCOMP;LAPINTERNO;REFILADO;RESINAINTERNA;AMARRADO;PALETIZADO;PACOTESLARGURA;PACOTESCOMPRIMENTO;PACOTESALTURA;PECASPORPACOTE;PECASPORPALETE;PACOTESPORPALETE;UNIDADESPORPALETE;ESPELHO;FILME;FACA;COR1;CONSUMOCOR1;COR2;CONSUMOCOR2;COR3;CONSUMOCOR3;COR4;CONSUMOCOR4;NRCORES;LARGURAINTERNA;COMPRIMENTOINTERNO;ALTURAINTERNA;LARGPECA;COMPPECA;COMPPACOTE;LARGPACOTE;ALTURAPACOTE;COMMPALETEFECHADO;LARGPALETEFECHADO;ALTURAPALETEFECHADO;PESOCAIXA;PATHFIGURADOLASTRO;IDPALETE;AREABRUTAPECACOMREFILOS;AREABRUTAPECA;AREALIQUIDAPECA;AREABRUTACHAPA;AREALIQUIDACHAPA;VOLUMEPALETEFECHADOM3;VOLUMEPACOTEFECHADOM3
364760;;;4;Desativada;4;Desativada (DETEC);1633;300.2549;3002549;CN;1;410.0;4.05;;;A4-C;478;0;1584;0;1;1;1;2.0;165.0;148.0;165.0;30.0;329.0;449.0;329.0;447.0;30;50;0;1;1;0;1;1;1.0;3.0;6.0;25.0;450.0;18.0;450.0;1;1;;AZUL 2;;;;;;;;1;325.0;445.0;140.0;478.0;1584.0;;;;1256.0;1000.0;1305.0;;;24.0;0.757152;0.757152;0.74200896;0.757152;0.757152;1.63908;
436480;;28.0;1;Desenvolvimento;3;Suspensa (Vendas) Desenvolvimento (DETEC);1299;Nº 09;09;CNAR;0;416.0;6.0;;;A2S-B;417;0;1135;0;1;1;1;2.2134186923588883;97.0;223.0;97.0;30.0;197.0;357.0;197.0;354.0;30;0;0;1;1;0;1;1;2.0;2.0;8.0;25.0;800.0;32.0;800.0;1;1;FAZER;VERDE 2;;;;;;;;1;194.0;354.0;217.0;417.0;1135.0;554.0;417.0;150.0;1108.0;834.0;1350.0;193.0;;7.0;0.473295;0.473295;0.462819;0.473295;0.473295;1.247497;0.034653
764010;;59.0;1;Desenvolvimento;3;Suspensa (Vendas) Desenvolvimento (DETEC);10106;020686;;CN;0;;;;;A12-C;514;0;1284;0;1;1;1;2.372813556856613;148.0;218.0;148.0;30.0;294.0;334.0;294.0;332.0;30;0;0;1;1;0;1;1;2.0;3.0;6.0;25.0;900.0;36.0;900.0;0;1;;;;;;;;;;0;290.0;330.0;210.0;514.0;1284.0;628.0;514.0;200.0;1449.0;680.0;1350.0;;;1.0;0.659976;0.659976;0.644316;0.659976;0.659976;1.330182;0.064558
365541;;16.0;4;Desativada;4;Desativada (DETEC);6111;PESCADOS CONG. FD PARDO;;MCNf;0;;8.5;;;A18S-C;321;0;1724;0;1;1;1;0.0;158.0;163.0;;30.0;324.0;524.0;324.0;522.0;30;0;0;1;1;0;1;0;;;;25.0;;;;0;0;;;;;;;;;;0;320.0;520.0;154.0;321.0;1724.0;;;;;;;;;;0.553404;0.553404;0.553404;0.553404;0.553404;;
442000;;;0;Amostra;3;Suspensa (Vendas) Amostra (DETEC);8649;NR - 5 - PP;;CN;0;;;;;A2-C;284;0;964;0;1;1;1;2.0;78.0;128.0;78.0;30.0;154.0;314.0;154.0;312.0;30;0;0;1;1;0;1;1;1.0;1.0;1.0;25.0;25.0;1.0;25.0;1;1;;;;;;;;;;0;150.0;310.0;120.0;284.0;964.0;;;;;;1350.0;;;;0.273776;0.273776;0.26830048;0.273776;0.273776;;
361641;;2.0;4;Desativada;4;Desativada (DETEC);1852;Japão 12 Kg - FD EX 135;;17;0;;4.2;;;A4S-B;845;10;1332;10;1;2;2;0.0;;;;;;;;;0;0;-1;-1;1;1;1;0;2.0;2.0;20.0;25.0;2000.0;80.0;2000.0;1;0;FAZER;;;;;;;;;0;260.0;392.0;135.0;835.0;661.0;;;;;;;;;47.0;0.56277;0.551935;0.551935;1.12554;1.10387;;
666853;;46.0;0;Amostra;3;Suspensa (Vendas) Amostra (DETEC);11677;DIV  POTE 1 KG PASTA AMENDOIM;;DIV;0;;;;;K2-B;110;0;908;0;1;1;1;0.0;129.0;129.0;129.0;130.0;130.0;;;;0;0;-1;-1;1;0;0;0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0;0;;;;;;;;;;0;262.0;390.0;132.0;;;;;;;;;;;;0.09988;0.09988;0.09988;0.09988;0.09988;;
828090;;11.0;3;Suspenso;4;Desativada (Faca) Desativada (Clichê) Suspensa (Vendas) Suspensa (DETEC);9104;Cx. Morangos Rizzotto Manual;;34;1;;6.5;;;A3-B;657;15;1530;15;1;3;3;26.55;;;;;;;;;0;0;-1;-1;1;0;1;1;2.0;2.0;8.0;50.0;1600.0;32.0;1600.0;1;1;6776;;;VERDE 342;351.0;VERMELHO 11;76.0;;;2;220.0;320.0;70.0;642.0;505.0;642.0;505.0;150.0;1284.0;1010.0;1350.0;;22.bmp;24.0;0.33507;0.32421;0.23813224499999996;1.00521;0.97263;1.750734;0.048632
372150;;9.0;4;Desativada;4;Desativada (DETEC);5935; F 23 - Queijo Minas;F-23;CN;1;455.0;4.5;40.0;;A4-C;354;0;884;0;1;1;1;2.0;108.0;138.0;108.0;30.0;214.0;214.0;214.0;212.0;30;0;0;1;1;0;1;1;3.0;3.0;6.0;25.0;1350.0;54.0;1350.0;1;1;0003;;;;;;;PRETO;;1;210.0;210.0;130.0;354.0;884.0;;;;1284.0;1062.0;1305.0;139.0;;24.0;0.312936;0.312936;0.30667728;0.312936;0.312936;1.779508;
754270;;33.0;0;Amostra;4;Desativada (Faca) Suspensa (Vendas) Amostra (DETEC);11582;CAIXA - QUINTA TINTO SUAVE 750 ml;;27;1;367.0;4.5;40.0;;K1G-B;1130;15;1582;10;1;3;3;5.1;;;;;;;;;0;0;-1;-1;1;0;0;1;1.0;2.0;8.0;50.0;800.0;16.0;800.0;1;1;7166;;;;;;;;;0;222.0;296.0;304.0;1115.0;524.0;1115.0;524.0;142.0;1200.0;1100.0;1330.0;203.0;12.BMP;53.0;0.5958866666666667;0.58426;0.55446274;1.78766;1.75278;1.7556;0.082965
